Username,Repo_name,Repo_url,Stars_count
amphp,amp,https://github.com/amphp/amp,3700.0
danog,MadelineProto,https://github.com/danog/MadelineProto,2100.0
amphp,http-server,https://github.com/amphp/http-server,1200.0
unreal4u,telegram-api,https://github.com/unreal4u/telegram-api,
amphp,http-client,https://github.com/amphp/http-client,
amphp,parallel,https://github.com/amphp/parallel,
php-service-bus,service-bus,https://github.com/php-service-bus/service-bus,
amphp,byte-stream,https://github.com/amphp/byte-stream,
amphp,mysql,https://github.com/amphp/mysql,
amphp,parallel-functions,https://github.com/amphp/parallel-functions,
amphp,process,https://github.com/amphp/process,
amphp,socket,https://github.com/amphp/socket,
amphp,redis,https://github.com/amphp/redis,
amphp,dns,https://github.com/amphp/dns,
amphp,sync,https://github.com/amphp/sync,
kelunik,acme,https://github.com/kelunik/acme,
amphp,websocket-client,https://github.com/amphp/websocket-client,
PeeHaa,mailgrab,https://github.com/PeeHaa/mailgrab,
amphp,websocket-server,https://github.com/amphp/websocket-server,
amphp,serialization,https://github.com/amphp/serialization,
