Username,Repo_name,Repo_url,Stars_count
bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,66500
ccxt,ccxt,https://github.com/ccxt/ccxt,25900
freqtrade,freqtrade,https://github.com/freqtrade/freqtrade,19600
HelloZeroNet,ZeroNet,https://github.com/HelloZeroNet/ZeroNet,17600
askmike,gekko,https://github.com/askmike/gekko,9900
solana-labs,solana,https://github.com/solana-labs/solana,9500
bbfamily,abu,https://github.com/bbfamily/abu,9400
dvf,blockchain,https://github.com/dvf/blockchain,7200
lbryio,lbry-sdk,https://github.com/lbryio/lbry-sdk,7200
lightningnetwork,lnd,https://github.com/lightningnetwork/lnd,6400
yeasy,blockchain_guide,https://github.com/yeasy/blockchain_guide,6300
spesmilo,electrum,https://github.com/spesmilo/electrum,6000
butor,blackbird,https://github.com/butor/blackbird,5600
btcsuite,btcd,https://github.com/btcsuite/btcd,5000
bitcoinjs,bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib,4700
bitcoinj,bitcoinj,https://github.com/bitcoinj/bitcoinj,4400
jesse-ai,jesse,https://github.com/jesse-ai/jesse,4200
CryptoSignal,Crypto-Signal,https://github.com/CryptoSignal/Crypto-Signal,4200
bisq-network,bisq,https://github.com/bisq-network/bisq,4100
coinpride,CryptoList,https://github.com/coinpride/CryptoList,3900
